latitude,longitude,Unnamed: 2
18.229138,-67.0586612,
18.22915,-66.02804,
18.229201,-66.015752,
18.2292131,-66.04549,
18.229247,-65.829038,
18.229278,-67.167474,
18.229324,-65.82974,
18.22938,-65.683124,
18.229408,-66.0279544,
18.22944616,-65.86001907,
18.229461,-65.825877,
18.2294988,-66.3716383,
18.229507,-67.01621,
18.2295309,-66.3293673,
18.229536,-66.026149,
18.229643,-67.121325,
18.2296927,-66.0481229,
18.229809,-66.048073,
18.229815,-65.815079,
18.22989,-65.83072,
18.229891,-66.069824,
18.229898,-67.154395,
18.2298988,-66.0147056,
18.22991,-66.002495,
18.22992025,-66.01495505,
18.2299208,-65.6854748,
18.229946,-65.831414,
18.230015,-67.16358,
18.23002,-67.164948,
18.2300481,-65.829991,
18.230139,-65.859861,
18.230167,-66.050972,
18.230184,-65.920921,
18.23021997,-66.04555114,
18.230227,-66.048449,
18.230244,-66.064807,
18.230245,-67.154376,
18.230315,-66.017469,
18.230339,-65.903227,
18.230356,-66.044647,
18.2304414,-65.8293683,
18.23047,-65.90435,
18.230488,-65.928184,
18.2304898,-65.930387,
18.230501,-66.336365,
18.230545,-65.762772,
18.2305627,-66.4895297,
18.230564,-67.054985,
18.23057713,-66.05293374,
18.23062693,-67.16725069,
18.23069565,-66.06683646,
18.230696,-66.014343,
18.230714,-66.062447,
18.230737,-65.904078,
18.230772,-66.322086,
18.230808,-66.995003,
18.230833,-65.903046,
18.230896,-66.027184,
18.230928,-66.0143962,
18.230937,-65.92806,
18.230951,-65.905187,
18.230952,-66.022764,
18.231029,-66.241112,
18.2311143,-66.1531106,
18.2312,-66.0138,
18.2313929,-66.0631061,
18.2314426,-65.7612865,
18.2314782,-66.0649987,
18.2315072,-66.2033263,
18.231523,-65.817199,
18.231528,-66.064378,
18.23163,-66.000908,
18.231798,-65.929189,
18.231948,-66.016114,
18.2319779,-67.1206964,
18.232079,-65.997276,
18.23208852,-67.14836061,
18.232182,-66.005149,
18.2322,-66.00589,
18.2322046,-66.5019209,
18.2322221,-65.9284763,
18.232283,-66.27848,
18.232332,-66.259739,
18.23246198,-66.06287985,
18.232472,-65.765583,
18.232528,-66.260722,
18.232562,-66.065089,
18.232585,-66.063341,
18.232592,-66.01722,
18.232724,-66.018464,
18.232774,-66.018687,
18.23278,-67.15271,
18.232822,-66.012307,
18.2328453,-66.0198169,
18.2328873,-66.0130814,
18.232891,-65.716484,
18.232951,-67.152867,
18.232986,-66.021451,
18.232987,-66.061634,
18.233013,-66.021942,
