latitude,longitude,Unnamed: 2
18.385357,-66.193893,
18.38536183,-66.14856216,
18.385362,-66.145816,
18.385383,-66.206243,
18.38538598,-65.78606387,
18.385387,-65.870397,
18.38539,-67.181871,
18.385395,-67.114392,
18.3854,-65.8706,
18.38540091,-66.11923171,
18.385426,-65.787228,
18.3854718,-65.8708651,
18.38547635,-65.78712927,
18.385481,-66.20536,
18.385497,-67.190963,
18.3855,-65.8658,
18.3855,-66.1506,
18.385514,-65.784796,
18.3855262,-66.2102497,
18.385564,-66.187359,
18.38557,-65.786166,
18.385583,-65.868306,
18.385607,-66.33419,
18.3856077,-66.1866302,
18.3856198,-66.01153,
18.3856344,-65.9575072,
18.385637,-66.188637,
18.385649,-66.0027467,
18.385667,-66.212034,
18.38569424,-66.14815686,
18.3856948,-66.5006093,
18.3856997,-66.182533,
18.3857167,-65.9907839,
18.38574,-65.8665,
18.385764,-66.00267,
18.38578,-65.829354,
18.385835,-66.175889,
18.385845,-67.123817,
18.385846,-66.208431,
18.38585717,-66.0378635,
18.385866,-66.175591,
18.385887,-66.003477,
18.385895,-66.887794,
18.385901,-65.871548,
18.385904,-66.039588,
18.385921,-66.176279,
18.385942,-65.864945,
18.38595,-65.787061,
18.38595,-66.19386,
18.385969,-66.012054,
18.385975,-66.141596,
18.385979,-66.206692,
18.385994,-65.990929,
18.385997,-65.78354,
18.3860044,-65.8659562,
18.386009,-66.115299,
18.386019,-66.176369,
18.386029,-65.868576,
18.38603,-66.15221,
18.386059,-66.175865,
18.386097,-66.117184,
18.386122,-66.002521,
18.38613,-65.99166,
18.38613,-66.04007,
18.3861387,-66.0032395,
18.3861581,-66.0914222,
18.386187,-66.2110457,
18.386192,-66.211143,
18.38620407,-66.60411765,
18.386209,-65.984634,
18.386218,-66.039288,
18.38622,-67.19015,
18.386222,-67.172493,
18.38624,-66.05035,
18.386248,-65.866623,
18.386263,-66.20639,
18.386265,-65.865768,
18.386291,-66.302775,
18.3862914,-65.984277,
18.38629548,-65.99224935,
18.386296,-66.38382,
18.386313,-66.211424,
18.386328,-66.038995,
18.386329,-66.038977,
18.38636,-66.184692,
18.3863659,-66.2086294,
18.386372,-66.941185,
18.3863859,-67.0261388,
18.386389,-66.1525,
18.38641401,-66.03795239,
18.38642,-66.039279,
18.386431,-66.191385,
18.3864349,-65.9908115,
18.3865,-66.0383,
18.386528,-66.211422,
18.386538,-66.002452,
18.386568,-66.60552,
18.3865921,-66.1423194,
18.386613,-66.015987,
18.386615,-65.868029,
