latitude,longitude,Unnamed: 2
18.41420067,-65.95709467,
18.414215,-66.432225,
18.41425,-66.306031,
18.41428908,-65.99442432,
18.4143,-65.9916,
18.4143115,-66.3084578,
18.414398,-65.999006,
18.4144,-66.32189,
18.414406,-66.004872,
18.41441,-65.969322,
18.414421,-65.970467,
18.4144451,-66.433489,
18.41454,-66.189104,
18.414542,-66.652603,
18.41457,-66.06557,
18.414577,-65.978917,
18.4146,-66.0697,
18.414604,-65.957481,
18.414732,-65.967766,
18.414777,-66.062744,
18.414814,-66.058737,
18.41483,-66.1798,
18.414859,-66.582714,
18.414867,-66.058678,
18.41488474,-66.01071876,
18.415,-66.0,
18.41501,-65.95482,
18.4150186,-66.0637337,
18.4150396,-66.4850826,
18.415067,-65.9753,
18.4150689,-66.6110479,
18.4151423,-65.9552149,
18.415151,-65.968627,
18.415167,-65.955833,
18.4151678,-66.3253256,
18.4152,-65.9549,
18.415213,-65.9571002,
18.415232,-66.574661,
18.41524,-66.32415,
18.41527328,-66.08659538,
18.415278,-66.087222,
18.4153067,-66.1819014,
18.41532994,-66.03860107,
18.41536,-65.958114,
18.41536,-66.1867,
18.4153835,-66.3091904,
18.415401,-65.971646,
18.415401,-66.3182925,
18.4154321,-66.4875865,
18.415482,-66.169601,
18.415506,-65.957025,
18.415563,-66.563889,
18.41558199,-66.78823896,
18.4156,-66.03851,
18.415632,-66.003784,
18.4156922,-65.996567,
18.4156954,-66.0037373,
18.415706,-65.956745,
18.4157337,-66.1824614,
18.415744,-66.292411,
18.4157525,-65.8451883,
18.4157525,-65.8452883,
18.415776,-66.3208852,
18.41579,-66.00027,
18.41579,-66.30796,
18.415809,-66.772354,
18.415817,-66.067162,
18.415839,-66.7719023,
18.4158489,-65.8447629,
18.415905,-66.000539,
18.415922,-66.165904,
18.416,-66.183512,
18.416009,-66.18353,
18.416027,-66.159131,
18.41604,-65.996263,
18.416085,-66.487596,
18.416088,-66.174332,
18.416098,-66.001338,
18.416127,-66.178141,
18.4161374,-66.0000215,
18.416148,-66.067336,
18.4161507,-65.955466,
18.4161641,-65.9953029,
18.416197,-65.997616,
18.416225,-66.190803,
18.4162659,-66.3223014,
18.41628,-65.9628,
18.416293,-66.225274,
18.41633,-66.65025,
18.416343,-66.003336,
18.4163518,-66.0854834,
18.416401,-65.964304,
18.41644,-66.225812,
18.416462,-65.975769,
18.41648,-66.08866,
18.41651,-66.35773,
18.41653,-66.32271,
18.416539,-66.297203,
18.4165636,-65.9972736,
18.416564,-66.091673,
