latitude,longitude,Unnamed: 2
18.0132818,-66.6446234,
18.0133175,-66.6526003,
18.013329,-66.000179,
18.0133405,-66.4205648,
18.013343,-66.38557,
18.013376,-66.600037,
18.013378,-66.598718,
18.013435,-66.420448,
18.0135,-66.3772,
18.01355,-65.904012,
18.01358,-66.387764,
18.0135834,-66.5963581,
18.013662,-66.60936,
18.013748,-66.38778,
18.01375,-66.532778,
18.013774,-66.647473,
18.0138407,-66.5979315,
18.013901,-66.619955,
18.013983,-66.387286,
18.0140033,-66.8696242,
18.014007,-66.845619,
18.014014,-66.645421,
18.014087,-65.924695,
18.014127,-66.120247,
18.014129,-66.644077,
18.014133,-66.845443,
18.0141608,-66.6310655,
18.014236,-65.908885,
18.014236,-66.644852,
18.014259,-66.6344636,
18.014275,-66.645841,
18.0142968,-66.6433108,
18.014301,-66.586436,
18.014336,-66.645919,
18.0143633,-66.8701412,
18.01437,-66.583527,
18.0143757,-66.6432565,
18.014395,-66.420963,
18.014446,-66.649337,
18.014574,-66.587723,
18.014588,-66.645812,
18.0146,-66.2854,
18.0146,-66.6514,
18.014673,-66.644486,
18.01474,-66.589815,
18.014744,-66.597928,
18.014925,-66.652163,
18.014996,-66.626054,
18.015038,-66.650886,
18.0151598,-66.5877053,
18.0153769,-65.9127676,
18.015479,-66.587902,
18.0155213,-65.848926,
18.015625,-66.866866,
18.015693,-66.418383,
18.015755,-66.418048,
18.015823,-66.731363,
18.015837,-66.644883,
18.015959,-66.590118,
18.015978,-66.645393,
18.0160592,-66.53261,
18.01630255,-66.53440363,
18.01636,-66.651356,
18.0163653,-66.6446952,
18.0164058,-66.5902584,
18.016513,-66.84539,
18.016514,-66.651772,
18.016583,-66.420257,
18.016667,-66.777222,
18.016695,-66.590455,
18.01674,-66.84951,
18.016806,-66.654748,
18.016881,-66.652453,
18.016913,-66.591978,
18.017025,-66.778101,
18.017069,-66.84929,
18.0172555,-66.5324816,
18.017269,-66.532428,
18.017384,-66.902804,
18.017438,-66.848669,
18.017491,-66.532777,
18.017513,-65.923542,
18.0175274,-66.5993068,
18.0175695,-66.8429269,
18.017575,-66.590131,
18.0176,-66.5327,
18.0176113,-66.7996927,
18.017621,-66.84391,
18.0176684,-66.5985743,
18.01767,-66.399479,
18.0176741,-66.8454337,
18.0176974,-66.8429486,
18.017784,-66.656079,
18.01784,-66.844657,
18.017979,-66.653778,
18.018044,-66.530796,
18.01806347,-66.65435602,
18.01808,-66.49655,
18.01812447,-66.90469585,
18.018127,-66.527771,
