latitude,longitude,
15.18614455,-65.9496523,
17.414,-66.031085,
17.93476,-66.953387,
17.9364926,-66.9515811,
17.93937,-66.958183,
17.9394,-66.9581,
17.939653,-66.198951,
17.9413927,-66.9522014,
17.94698,-66.13248,
17.94853466,-66.13419258,
17.9486371,-66.8785982,
17.9490731,-66.1341451,
17.94909199,-66.12778231,
17.94909588,-66.12815227,
17.94935,-66.12866,
17.951746,-66.179939,
17.95208,-66.17899,
17.952303,-66.225975,
17.9531152,-66.1678983,
17.953556,-66.16893,
17.953777,-66.225288,
17.953903,-66.170845,
17.956667,-66.113847,
17.957333,-66.224222,
17.9574,-66.1663,
17.95918,-66.22893,
17.959339,-66.228958,
17.959475,-66.229713,
17.959631,-66.230751,
17.959666,-66.373873,
17.95979,-66.11417175,
17.960529,-66.377586,
17.961,-66.11328,
17.9614122,-66.2887506,
17.9618584,-66.1073642,
17.962013,-66.160839,
17.9621209,-66.0623705,
17.962741,-66.113223,
17.962752,-66.112326,
17.9631587,-66.1071379,
17.963565,-66.10255,
17.9636275,-66.1062758,
17.963895,-66.102993,
17.963957,-66.109614,
17.963985,-66.060739,
17.9641943,-66.3695947,
17.96427,-66.291439,
17.96445508,-66.11574013,
17.964698,-66.17435,
17.96476397,-66.29368818,
17.96479,-66.114624,
17.964857,-66.112598,
17.96488,-66.937758,
17.9649581,-66.1736889,
17.96515,-66.11182,
17.9651641,-66.1148717,
17.965232,-66.174438,
17.965328,-66.065452,
17.965341,-66.065488,
17.965351,-66.113856,
17.965437,-66.101712,
17.965447,-66.172939,
17.9654888,-66.1734012,
17.965527,-66.935379,
17.96563,-66.10368,
17.965768,-66.931889,
17.965826,-66.286927,
17.965862,-66.103738,
17.965893,-66.112938,
17.965926,-66.102149,
17.965981,-66.174677,
17.966047,-66.055345,
17.966074,-66.054002,
17.966075,-66.908547,
17.966084,-66.113142,
17.9662153,-66.0612101,
17.96622175,-66.30384541,
17.96623,-66.169319,
17.9662587,-66.12107,
17.966294,-66.122476,
17.9663454,-66.2863893,
17.966381,-66.202007,
17.9664,-66.1018,
17.966452,-66.1236781,
17.966468,-66.397137,
17.966518,-66.120491,
17.9665288,-66.11814,
17.9665677,-66.2877012,
17.9665741,-66.0560177,
17.966577,-66.055847,
17.9665783,-66.1184096,
17.966584,-66.12188,
17.966605,-66.1697162,
17.96662541,-66.16944607,
17.9667138,-66.118716,
17.9667323,-66.0610938,
17.9667664,-66.1228335,
17.966793,-66.055145,
17.966981,-66.123864,
17.9669954,-66.118141,
17.96701,-66.117828,
17.967043,-66.367905,
17.96707188,-66.11776466,
17.96723,-66.123081,
17.967246,-66.174636,
17.9672553,-66.0651302,
17.967341,-66.113929,
17.967351,-66.1146233,
17.967356,-66.055817,
17.967392,-66.286644,
17.967446,-66.114569,
17.967494,-66.121832,
17.9675,-66.40781,
17.9675711,-66.4007345,
17.967596,-66.174729,
17.9676805,-66.1081488,
17.96769,-66.1212,
17.96773,-66.36658,
17.967749,-66.10901,
17.967788,-66.286712,
17.96793,-66.124042,
17.967978,-66.114052,
17.968021,-66.113844,
17.9680504,-66.1051095,
17.96809,-66.122605,
17.9681199,-66.0676192,
17.968153,-66.286209,
17.968157,-66.06552,
17.968166,-66.114166,
17.9681863,-66.398579,
17.968258,-66.363894,
17.968314,-66.120024,
17.968374,-66.056369,
17.9684497,-66.1024474,
17.96846761,-66.07046826,
17.968508,-66.4084297,
17.96851,-66.12274,
17.9685181,-66.93643325,
17.968523,-66.936401,
17.96864932,-66.12265705,
17.9687,-66.0661,
17.968776,-66.122446,
17.968859,-66.112356,
17.968863,-66.111978,
17.968993,-66.114391,
17.968993,-66.408338,
17.968996,-66.072376,
17.969016,-66.12775,
17.96902,-66.286194,
17.9690585,-66.2853382,
17.969113,-66.10328,
17.969161,-66.111315,
17.96917,-66.40844,
17.9691738,-66.1145634,
17.96921,-66.070267,
17.969242,-66.408042,
17.96930762,-66.11411986,
17.969331,-66.122346,
17.969358,-66.067322,
17.9693864,-66.4079802,
17.969503,-66.06852,
17.9695152,-66.41004925,
17.969516,-66.067068,
17.969532,-66.114225,
17.969553,-66.113503,
17.969553,-66.181755,
17.9695924,-66.1733888,
17.969599,-66.112044,
17.969606,-66.412907,
17.969615,-66.112165,
17.969624,-66.222824,
17.969628,-66.058597,
17.9696689,-66.1697762,
17.969719,-66.409721,
17.9697694,-66.1244767,
17.9698035,-66.1245478,
17.969811,-66.121612,
17.969811,-66.404884,
17.969813,-66.06670195,
17.96985,-66.17014,
17.9698657,-66.3011146,
17.969891,-66.055489,
17.96999,-66.286255,
17.97,-66.1,
17.970068,-66.112129,
17.9701346,-66.0573347,
17.970312,-66.122047,
17.970343,-66.406136,
17.970375,-66.063441,
17.9704054,-66.0675159,
17.97042,-66.06767,
17.97043,-66.05761,
17.970442,-66.06767,
17.9705,-66.2885,
17.9706126,-66.1812537,
17.97065,-66.123092,
17.970689,-66.125661,
17.9707,-66.1211,
17.9707233,-66.124805,
17.970727,-66.055423,
17.97073,-66.067959,
17.970901,-66.301193,
17.970907,-66.409207,
17.970923,-66.288177,
17.970923,-66.2881777,
17.9710001,-66.0626555,
17.971055,-66.063676,
17.971129,-66.1233,
17.9711915,-66.1222099,
17.97126,-66.06412,
17.97126,-66.06415,
17.97131,-66.11264,
17.971389,-66.110556,
17.971389,-66.1225,
17.971549,-66.409413,
17.9716,-66.06444,
17.971673,-66.28746,
17.9716852,-66.0630722,
17.971725,-66.073658,
17.97178,-66.06132,
17.97182,-66.30447,
17.971838,-66.409453,
17.971843,-66.063696,
17.971862,-66.180994,
17.9718683,-67.18543988,
17.9718851,-66.0732589,
17.97193814,-66.40948823,
17.972002,-66.286894,
17.972031,-66.409441,
17.972099,-66.242622,
17.972133,-66.120618,
17.972192,-66.061579,
17.972247,-66.126494,
17.972282,-66.11972,
17.972383,-66.28775,
17.972425,-66.945489,
17.972429,-66.125137,
17.9724455,-66.4078531,
17.972544,-66.063337,
17.972546,-66.062986,
17.972584,-66.120445,
17.972624,-66.064301,
17.972681,-66.05484,
17.97269,-66.12059,
17.972696,-66.063583,
17.972773,-66.062172,
17.97277743,-66.12523595,
17.9728,-65.9386,
17.97291612,-66.22358492,
17.972929,-66.061041,
17.973035,-66.594849,
17.9730523,-65.9472759,
17.973061,-66.222574,
17.9730613,-66.2228947,
17.97311876,-66.12069466,
17.9732101,-66.2295535,
17.973245,-66.240807,
17.973314,-66.240515,
17.97333,-66.06147,
17.9733336,-66.2228109,
17.973349,-66.223695,
17.973427,-66.120567,
17.9734826,-66.0548003,
17.973514,-66.092308,
17.973526,-65.944428,
17.97356,-66.05779,
17.973568,-66.107112,
17.97363838,-66.22518688,
17.97365,-66.061577,
17.9737,-66.0882,
17.973702,-66.229773,
17.9737291,-66.2400742,
17.9737801,-67.1936753,
17.973784,-66.418572,
17.973867,-66.1203,
17.973911,-66.120514,
17.973914,-66.054469,
17.9739169,-66.2245372,
17.97401106,-66.06400597,
17.974016,-66.247325,
17.97404,-66.992627,
17.974086,-66.408557,
17.97411,-66.992987,
