id,Coordenadas,Latitude,Longitude,
18810,"18.031128, -67.166165",18.0311280000,-67.166165000,
8731,"18.097118, -67.166156",18.0971180000,-67.166156000,
5438,"18.0320700, -67.1661530",18.0320700000,-67.166153000,
19195,"18.0341960, -67.1656050",18.0341960000,-67.165605000,
17435,"18.227202, -67.165601",18.2272020000,-67.165601000,
921,"18.03267, -67.16552",18.0326700000,-67.165520000,
17086,"18.03329256, -67.16547942",18.0332925600,-67.165479420,
6941,"18.032623,-67.165460",18.0326230000,-67.165460000,
6191,"18.034641, -67.165277",18.0346410000,-67.165277000,
769,"18.185081, -67.165069",18.1850810000,-67.165069000,
7937,"18.230020, -67.164948",18.2300200000,-67.164948000,
3799,"18.4074720, -67.1648506",18.4074720000,-67.164850600,
18104,"18.35782596, -67.16434608",18.3578259600,-67.164346080,
2918,"18.40738607, -67.16370969",18.4073860700,-67.163709690,
18218,"18.077977,-67.163693",18.0779770000,-67.163693000,
10263,"18.230015,-67.163580",18.2300150000,-67.163580000,
16486,"18.469276,-67.163483",18.4692760000,-67.163483000,
5029,"18.469909, -67.163284",18.4699090000,-67.163284000,
4953,"18.087255,-67.162926",18.0872550000,-67.162926000,
10436,"18.026976,-67162417",18.0269760000,-67.162417000,
1235,"18.107485, -67.162415",18.1074850000,-67.162415000,
16477,"18.085811, -67.161982",18.0858110000,-67.161982000,
9975,"18.1010204 , -67.1618408",18.1010204000,-67.161840800,
19127,"18.077748, -67.161804",18.0777480000,-67.161804000,
9214,"18.296922, -67.161800",18.2969220000,-67.161800000,
699,"18.087605, -67.161797",18.0876050000,-67.161797000,
18519,"18.058817,-67.161693",18.0588170000,-67.161693000,
3785,"18.30285455,-67.16127620",18.3028545500,-67.161276200,
1588,"18.304615,-67.161003",18.3046150000,-67.161003000,
7878,"18.0889944, -67.1607958",18.0889944000,-67.160795800,
6320,"18.086496, -67.160728",18.0864960000,-67.160728000,
5530,"18.4770467 , -67.1602510",18.4770467000,-67.160251000,
6455,"18.1115739, -67.1601008",18.1115739000,-67.160100800,
2234,"18.47737, -67.16009",18.4773700000,-67.160090000,
261,"18.295589,- 67.160089",18.2955890000,-67.160089000,
8578,"18.113222,-67.159889",18.1132220000,-67.159889000,
17810,"18.47691085, -67.15946303",18.4769108500,-67.159463030,
18091,"18.0829090, -67.1594336",18.0829090000,-67.159433600,
15333,"18.0885820, -67.1592730",18.0885820000,-67.159273000,
5836,"18.48079621, -67.15922016",18.4807962100,-67.159220160,
4543,"18.4627650 , -67.1591800",18.4627650000,-67.159180000,
19003,"18.089563, -67.158706",18.0895630000,-67.158706000,
2228,"18.0857458, -67.1583245",18.0857458000,-67.158324500,
2834,"18.1139230, -67.1582866",18.1139230000,-67.158286600,
17448,"18.088803, -67.157945",18.0888030000,-67.157945000,
4657,"18.2121883,-67.1579251",18.2121883000,-67.157925100,
131,"18.1790588, -67.1579208",18.1790588000,-67.157920800,
5981,"18.4482370, -67.1577555",18.4482370000,-67.157755500,
2917,"18.1142127,-67.1576935",18.1142127000,-67.157693500,
16939,"18.12275600, -67.15752938",18.1227560000,-67.157529380,
1556,"18.234861, -67.157339",18.2348610000,-67.157339000,
2520,"18.1802988,-67.1572958",18.1802988000,-67.157295800,
8160,"18.127576, -67.157163",18.1275760000,-67.157163000,
295,"18.178047, -67157154",18.1780470000,-67.157154000,
1548,"18.164111,-67.156747",18.1641110000,-67.156747000,
11699,"18.448562, -67.156532",18.4485620000,-67.156532000,
2410,"18.4376193, -67.1564674",18.4376193000,-67.156467400,
4665,"18.1640220,-67.1562394",18.1640220000,-67.156239400,
17564,"18.367153, -67.155975",18.3671530000,-67.155975000,
18884,"18.453753, -67.155875",18.4537530000,-67.155875000,
19011,"18.4527869, -67.1557800",18.4527869000,-67.155780000,
7799,"18.234198,-67.155744",18.2341980000,-67.155744000,
1552,"18.110937, -67155549",18.1109370000,-67.155549000,
6518,"18.4122200, -67.1553040",18.4122200000,-67.155304000,
19236,"18.480684, -67.155304",18.4806840000,-67.155304000,
16565,"18.4114432, - 67.1552713",18.4114432000,-67.155271300,
2272,"18.100501,-67.155226",18.1005010000,-67.155226000,
1051,"18.4113470,-67.1552090",18.4113470000,-67.155209000,
2290,"18.100415,-67.154887",18.1004150000,-67.154887000,
4341,"18.194038, -67.154756",18.1940380000,-67.154756000,
11564,"18.457194, -67.154694",18.4571940000,-67.154694000,
6632,"18.413842, -67.154674",18.4138420000,-67.154674000,
3196,"18.184850,-67.154669",18.1848500000,-67.154669000,
11934,"18.1839632, -67.1546535",18.1839632000,-67.154653500,
4623,"18.4797143 , -67.1546217",18.4797143000,-67.154621700,
14902,"18.41986-,67.154617",18.4198600000,-67.154617000,
19256,"18.30125350,-67.15459422",18.3012535000,-67.154594220,
6390,"18.1854982, -67.1545845",18.1854982000,-67.154584500,
10564,"18.187694, -67.154472",18.1876940000,-67.154472000,
297,"18.455641,-67.154449",18.4556410000,-67.154449000,
18192,"18.229898,-67.154395",18.2298980000,-67.154395000,
16130,"18.230245, -67.154376",18.2302450000,-67.154376000,
1333,"18.24249124, -67.15435027",18.2424912400,-67.154350270,
18984,"18.433225, -67.154197",18.4332250000,-67.154197000,
16964,"18.079160, -67.154048",18.0791600000,-67.154048000,
15044,"18.471289, -67.154047",18.4712890000,-67.154047000,
2365,"18.189010, -67.154042",18.1890100000,-67.154042000,
3885,"18.4529062 , -67.1540058",18.4529062000,-67.154005800,
1323,"18.0922270, -67.1538540",18.0922270000,-67.153854000,
1514,"18.425532, -67.153798",18.4255320000,-67.153798000,
1205,"18.190178, -67.153692",18.1901780000,-67.153692000,
724,"18.1671191, -67.1536319",18.1671191000,-67.153631900,
13456,"18.0911565, -67.1535367",18.0911565000,-67.153536700,
2444,"18.12634, -67.15328",18.1263400000,-67.153280000,
12080,"18.092200, -67.153092",18.0922000000,-67.153092000,
9039,"18.232951, -67.152867",18.2329510000,-67.152867000,
1677,"18.23278, -67.15271",18.2327800000,-67.152710000,
17489,"18.12647002, -67.15265148",18.1264700200,-67.152651480,
17819,"18.165899, -67.152536",18.1658990000,-67.152536000,
12518,"18.0928166,-67.1524715",18.0928166000,-67.152471500,
12859,"18.442311, -67.152441",18.4423110000,-67.152441000,
16648,"18.126173, -67.152364",18.1261730000,-67.152364000,
1044,"18.4552695, -67.1522613",18.4552695000,-67.152261300,
17625,"18.131679, -67.152032",18.1316790000,-67.152032000,
16914,"18.0802830,-67.1518446",18.0802830000,-67.151844600,
16294,"18.131549, -67.151754",18.1315490000,-67.151754000,
12005,"18.131686,-67.151336",18.1316860000,-67.151336000,
11571,"18.471402, -67.151323",18.4714020000,-67.151323000,
1536,"18.234673, -67.150997",18.2346730000,-67.150997000,
6002,"18.197060, -67.150990",18.1970600000,-67.150990000,
18383,"18.076726, -67.150650",18.0767260000,-67.150650000,
12107,"18.22672208, -67.15061254",18.2267220800,-67.150612540,
12681,"18.472206, -67.150302",18.4722060000,-67.150302000,
3673,"18.4693505, -67.1500911",18.4693505000,-67.150091100,
4712,"18.472310, -67.150040",18.4723100000,-67.150040000,
5609,"18.439262, -67.149979",18.4392620000,-67.149979000,
18476,"18.361256, -67.149978",18.3612560000,-67.149978000,
4818,"18.13356, -67.14997",18.1335600000,-67.149970000,
8064,"18.135595, -67.149970",18.1355950000,-67.149970000,
16873,"18.471990, -67.149950",18.4719900000,-67.149950000,
17371,"18.222469 ,-67.149895",18.2224690000,-67.149895000,
13376,"18.157919, -67.149872",18.1579190000,-67.149872000,
1974,"18.4394186,-67.1498433",18.4394186000,-67.149843300,
4872,"18.133333, -67.149825",18.1333330000,-67.149825000,
19245,"18.450304,-67.149724",18.4503040000,-67.149724000,
11547,"18.471617, -67.149719",18.4716170000,-67.149719000,
18518,"18.221753, -67.149698",18.2217530000,-67.149698000,
10594,"18.281380, -67.149580",18.2813800000,-67.149580000,
2079,"18.2356374, -67.1495714",18.2356374000,-67.149571400,
10119,"17.999040, -67.149555",17.9990400000,-67.149555000,
18099,"18.177430,-67.149546",18.1774300000,-67.149546000,
14635,"18.086376, -67.14943",18.0863760000,-67.149430000,
10225,"18.44612, -67.14938",18.4461200000,-67.149380000,
13281,"17.998758,-67.149263",17.9987580000,-67.149263000,
2330,"18.47178, -67.14924",18.4717800000,-67.149240000,
6277,"18.170753, -67.149142",18.1707530000,-67.149142000,
5600,"18.437799,-67.149075",18.4377990000,-67.149075000,
8693,"18.281608, -67.149065",18.2816080000,-67.149065000,
2825,"18.438675, -67.148806",18.4386750000,-67.148806000,
1968,"18.2110761,-67.1487577",18.2110761000,-67.148757700,
6782,"18.299210, -67.148670",18.2992100000,-67.148670000,
6283,"18.158427, -67.148669",18.1584270000,-67.148669000,
3045,"18.2992340, -67.1486040",18.2992340000,-67.148604000,
7860,"18.170537, -67.148563",18.1705370000,-67.148563000,
16369,"18.450015, -67.148494",18.4500150000,-67.148494000,
17951,"18.211104,-67.148450",18.2111040000,-67.148450000,
162,"18.450876,-67.148415",18.4508760000,-67.148415000,
12376,"18.23208852, -67.14836061",18.2320885200,-67.148360610,
13605,"17.994426, -67.148245",17.9944260000,-67.148245000,
754,"18.1613390,-67.1481069",18.1613390000,-67.148106900,
13245,"18.155034, -67.148099",18.1550340000,-67.148099000,
18663,"18.15527755, -67.14785191",18.1552775500,-67.147851910,
14712,"18.194326, -67.147847",18.1943260000,-67.147847000,
5187,"18.169947, -67.147818",18.1699470000,-67.147818000,
1455,"18.1662812 , -67.1478052",18.1662812000,-67.147805200,
17943,"18.471422,-67.147655",18.4714220000,-67.147655000,
6093,"18.3740411, -67.1476439",18.3740411000,-67.147643900,
3076,"18.018267, -67.147380",18.0182670000,-67.147380000,
3879,"18.1581452, -67.1473227",18.1581452000,-67.147322700,
17992,"18.182538, -67.147314",18.1825380000,-67.147314000,
149,"18.4518013 , -67.1472054",18.4518013000,-67.147205400,
3421,"18.158277,-67.146913",18.1582770000,-67.146913000,
987,"18.1668387 , -67.1467923",18.1668387000,-67.146792300,
2239,"18.4516604, -67.1466876",18.4516604000,-67.146687600,
15726,"18.1531404,-67.1466440",18.1531404000,-67.146644000,
7351,"18.1516090, -67.1464380",18.1516090000,-67.146438000,
3149,"18.0924560, -67.1461470",18.0924560000,-67.146147000,
18629,"18.17617425, -67.14604467",18.1761742500,-67.146044670,
2274,"18.1470000,-67.1459437",18.1470000000,-67.145943700,
16358,"18.150794, -67.145927",18.1507940000,-67.145927000,
10859,"18.018275,-67.145889",18.0182750000,-67.145889000,
17352,"18.1634043, -67.1458374",18.1634043000,-67.145837400,
16077,"18.155149,-67.145798",18.1551490000,-67.145798000,
17386,"18.306530, -67.145798",18.3065300000,-67.145798000,
6466,"18.092580, -67.145482",18.0925800000,-67.145482000,
4290,"18.3713401 ,-67.1454284",18.3713401000,-67.145428400,
16213,"18.1674357 ,-67.1453888",18.1674357000,-67.145388800,
4583,"18.2829581, -67.1452839",18.2829581000,-67.145283900,
1084,"18.294623, -67.145223",18.2946230000,-67.145223000,
3335,"18.20564, -67.14514",18.2056400000,-67.145140000,
14792,"18.0923086, -67.1448933",18.0923086000,-67.144893300,
2062,"18.16531, -67.14470",18.1653100000,-67.144700000,
11146,"18.178960, -67.144613",18.1789600000,-67.144613000,
2005,"18.290542, -67.144519",18.2905420000,-67.144519000,
1002,"18.473658,-67.144447",18.4736580000,-67.144447000,
19072,"18.021174,-67.144141",18.0211740000,-67.144141000,
10601,"18.172639, -67.144056",18.1726390000,-67.144056000,
18126,"18.291390, -67.144009",18.2913900000,-67.144009000,
17829,"18.0353650,-67.1437949",18.0353650000,-67.143794900,
12372,"18.29472825,-67.14372903",18.2947282500,-67.143729030,
4359,"18.036237,-67.143462",18.0362370000,-67.143462000,
11602,"18.179529, - 67.143448",18.1795290000,-67.143448000,
16436,"18.019099, -67.143342",18.0190990000,-67.143342000,
1634,"18.466687, -67.143293",18.4666870000,-67.143293000,
15831,"18.289879,-67.143227",18.2898790000,-67.143227000,
7763,"18.179523, -67.143188",18.1795230000,-67.143188000,
13147,"18.2949965, -67.1429283",18.2949965000,-67.142928300,
887,"18.499125,-67.142876",18.4991250000,-67.142876000,
6381,"18.143093,-67.142856",18.1430930000,-67.142856000,
13114,"18.115731, -67.142808",18.1157310000,-67.142808000,
7345,"18.172772, -67.142782",18.1727720000,-67.142782000,
15775,"18.020443,-67.142717",18.0204430000,-67.142717000,
880,"18.172499, -67.142612",18.1724990000,-67.142612000,
3385,"18.4999127,-67.1425578",18.4999127000,-67.142557800,
13211,"18.29442034,-67.14251913",18.2944203400,-67.142519130,
14236,"18.473870, -67.142451",18.4738700000,-67.142451000,
16410,"18.2910508, -67.1423496",18.2910508000,-67.142349600,
17959,"18.292296,-67.142293",18.2922960000,-67.142293000,
15725,"18.2899993,-67.1422336",18.2899993000,-67.142233600,
14350,"18.475515,-67.142229",18.4755150000,-67.142229000,
16622,"18.05554960,-67.14213349",18.0555496000,-67.142133490,
4015,"18.478056, -67.142109",18.4780560000,-67.142109000,
2596,"18.4998866,-67.142086",18.4998866000,-67.142086000,
2180,"18.086473, -67.142028",18.0864730000,-67.142028000,
8126,"18.464229, -67.142017",18.4642290000,-67.142017000,
7467,"18.151047, -67.141922",18.1510470000,-67.141922000,
19142,"18.502651,-67.141769",18.5026510000,-67.141769000,
2568,"18.501626 , -67.141627",18.5016260000,-67.141627000,
10690,"18.5020095, -67.1416062",18.5020095000,-67.141606200,
6144,"18.181301, -67.141258",18.1813010000,-67.141258000,
15389,"18.474470, -67.141151",18.4744700000,-67.141151000,
1021,"18.1722727,-67.1407573",18.1722727000,-67.140757300,
11344,"18.192467, -67.140712",18.1924670000,-67.140712000,
7397,"18.181110, -67.140710",18.1811100000,-67.140710000,
3559,"18.1924841, -67.1406906",18.1924841000,-67.140690600,
11178,"18.192213,-67.140610",18.1922130000,-67.140610000,
18048,"18.475738, -67.140603",18.4757380000,-67.140603000,
5510,"18.188083, -67.140528",18.1880830000,-67.140528000,
6290,"18.024841, -67.140491",18.0248410000,-67.140491000,
18911,"18.028627, -67.140463",18.0286270000,-67.140463000,
13140,"18.190629, -67.140442",18.1906290000,-67.140442000,
18243,"18.297883, - 67.140332",18.2978830000,-67.140332000,
3337,"18.298164,-67.140174",18.2981640000,-67.140174000,
17428,"18.469391,-67.140132",18.4693910000,-67.140132000,
17870,"18.08669372, -67.14005422",18.0866937200,-67.140054220,
17155,"18.1707303,-67.1398199",18.1707303000,-67.139819900,
3088,"18.182640, -67.139730",18.1826400000,-67.139730000,
1818,"18.17188, -67.13962",18.1718800000,-67.139620000,
5714,"18.178537,-67.139488",18.1785370000,-67.139488000,
1329,"18.1701674 , -67.1390793",18.1701674000,-67.139079300,
561,"18.369911, -67.139036",18.3699110000,-67.139036000,
1700,"18.187565, -67.138897",18.1875650000,-67.138897000,
7633,"18.3049290,-67.1387956",18.3049290000,-67.138795600,
16262,"18.184143,-67.138756",18.1841430000,-67.138756000,
5480,"18.4010709, -67.1384845",18.4010709000,-67.138484500,
6136,"18.1754394,-67.1384610",18.1754394000,-67.138461000,
10166,"18.4426610, -67.1384580",18.4426610000,-67.138458000,
10892,"18.020912, -67.138383",18.0209120000,-67.138383000,
12131,"18.181213, -67.138270",18.1812130000,-67.138270000,
19189,"18.16832742,-67.13826236",18.1683274200,-67.138262360,
6635,"18.4767548 , -67.1382367",18.4767548000,-67.138236700,
18774,"18.46184333, -67.13814279",18.4618433300,-67.138142790,
1572,"18.022831, -67.138115",18.0228310000,-67.138115000,
17560,"18.186688,-67.138083",18.1866880000,-67.138083000,
199,"18.447453,-67.137962",18.4474530000,-67.137962000,
14419,"18.288412, -67.137826",18.2884120000,-67.137826000,
6524,"18.173927, -67.137817",18.1739270000,-67.137817000,
18812,"18.076804,-67.137421",18.0768040000,-67.137421000,
4095,"18.4441443,-67.1373073",18.4441443000,-67.137307300,
3674,"18.02548, -67.137079",18.0254800000,-67.137079000,
12312,"18.243584, -67.137012",18.2435840000,-67.137012000,
6346,"18.2845203, -67.1368866",18.2845203000,-67.136886600,
743,"18.2844709, -67.1368634",18.2844709000,-67.136863400,
1248,"18.142782 , -67.136604",18.1427820000,-67.136604000,
19123,"18.22431102, -67.136559556",18.2243110200,-67.136559556,
3158,"18.440470, -67.136514",18.4404700000,-67.136514000,
2730,"18.4436873,-67.1363417",18.4436873000,-67.136341700,
6450,"18.154121,-67.136214",18.1541210000,-67.136214000,
18262,"18.02928632,-67.1361979",18.0292863200,-67.136197900,
2848,"18.4059576, -67.1361653",18.4059576000,-67.136165300,
18625,"18.4707608,-67.1361134",18.4707608000,-67.136113400,
6416,"18.029444, -67.136111",18.0294440000,-67.136111000,
16039,"18.0229887, -67.1358828",18.0229887000,-67.135882800,
15153,"18.222491, -67.135545",18.2224910000,-67.135545000,
16398,"18.298712, -67.135343",18.2987120000,-67.135343000,
7440,"18.192893, -67.135269",18.1928930000,-67.135269000,
1040,"18.18124607, -67.13519053",18.1812460700,-67.135190530,
5844,"18.295387,-67.134705",18.2953870000,-67.134705000,
17199,"18.1667, -67.1347",18.1667000000,-67.134700000,
10106,"18.497611,-67.134665",18.4976110000,-67.134665000,
19136,"18.22366578, -67.13463311",18.2236657800,-67.134633110,
12529,"18.45656,-67.13457",18.4565600000,-67.134570000,
16842,"18.374288, -67.134491",18.3742880000,-67.134491000,
1429,"18.50156107, -67.13444436",18.5015610700,-67.134444360,
2236,"18.4711774 , -67.1344387",18.4711774000,-67.134438700,
3716,"18.1932256, -67.1343083",18.1932256000,-67.134308300,
2036,"18.47112911 , -67.1342704",18.4711291100,-67.134270400,
15975,"18.145397, -67.133270",18.1453970000,-67.133270000,
3794,"18.2195247, -67.1331586",18.2195247000,-67.133158600,
2905,"18.4482144,-67.1331392",18.4482144000,-67.133139200,
4345,"18.4787937 , -67.1330668",18.4787937000,-67.133066800,
14549,"18.227959,-67.132987",18.2279590000,-67.132987000,
8048,"17.9990320, -67.1329300",17.9990320000,-67.132930000,
4416,"18.291492 , -67.132793",18.2914920000,-67.132793000,
14093,"18.166878, -67.131960",18.1668780000,-67.131960000,
11176,"18.47961, -67.13196",18.4796100000,-67.131960000,
18226,"18.08554989, -67.13188670",18.0855498900,-67.131886700,
7598,"18.176356, -67.131810",18.1763560000,-67.131810000,
5445,"18.22701157, -67.13166794",18.2270115700,-67.131667940,
5132,"18.5005228 , -67.1316080",18.5005228000,-67.131608000,
11995,"18.334539, -67.131437",18.3345390000,-67.131437000,
