X,Y,ID,Site_name,Site_type,Municipality,TotalBeneficiaries_Patients,Funders_Implementers,Funders_Combined,IsPrimary,Number_Funders,PVSizekW,Savings_year,CO2_eq_avoided_metric_tonnes_ye,Battery_size_kWh,PV_Size_AVG,Savings_AVG,CO2avoided_AVG,Batterysize_AVG,loads_backed_up,Installer,CompletionDate,Status,Latitude,Longitude,Accurate_building_town,Address,SiteDescription,Last_update,ObjectId
-66.7804817,18.1918977,402,Centro Paz Para Ti,Community Center ,Yahuecas,,Oxfam America,"Bosque Modelo, Oxfam America",0,2,2.9,1143.18,3.49,10.6,1.45,571.59,1.74601692,5.3,,,4/4/19,Complete,18.1918977,-66.7804817,Building,,,2019/07/30 00:00:00+00,390
-66.6004689,18.2976622,403,Community Electronic Library,Community Center ,Utuado,,Bosque Modelo,"Bosque Modelo, Electricidad por el Pueblo",1,2,2.9,1143.18,3.49,10.6,1.45,571.59,1.74601692,5.3,,,6/29/19,Complete,18.2976622,-66.6004689,Building,,,2019/07/30 00:00:00+00,391
-66.6004689,18.2976622,404,Community Electronic Library,Community Center ,Utuado,,Electricidad por el Pueblo,"Bosque Modelo, Electricidad por el Pueblo",0,2,2.9,1143.18,3.49,10.6,1.45,571.59,1.74601692,5.3,,,6/29/19,Complete,18.2976622,-66.6004689,Building,,,2019/07/30 00:00:00+00,392
-66.7794081,18.180017,405,Camino Pagan,Water Pumping Station,Adjuntas,,Bosque Modelo,"Bosque Modelo, Barefoot College",1,2,1.16,457.27,1.4,0,0.58,228.64,0.698406768,0,,,7/15/19,Complete,18.180017,-66.7794081,Building,,,2019/07/30 00:00:00+00,393
-66.7794081,18.180017,406,Camino Pagan,Water Pumping Station,Adjuntas,,Barefoot College,"Bosque Modelo, Barefoot College",0,2,1.16,457.27,1.4,0,0.58,228.64,0.698406768,0,,,7/15/19,Complete,18.180017,-66.7794081,Building,,,2019/07/30 00:00:00+00,394
-66.377516,18.309901,407,Ocunocu Zuimaco,Agriculture,Morovis,,Bosque Modelo,Bosque Modelo,1,1,3.6,1419.12,4.33,5.3,3.6,1419.12,4.33493856,5.3,,,7/20/19,Complete,18.309901,-66.377516,Building,,,2019/07/30 00:00:00+00,395
-66.913783,18.176355,408,Proyecto Bucarabon,Community Center,Maricao,,Bosque Modelo,"Bosque Modelo, Oxfam America",1,2,2.9,1143.18,3.49,10.6,1.45,571.59,1.74601692,5.3,,,7/27/19,Complete,18.176355,-66.913783,Building,,,2019/07/30 00:00:00+00,396
-66.913783,18.176355,409,Proyecto Bucarabon,Community Center,Maricao,,Oxfam America,"Bosque Modelo, Oxfam America",0,2,2.9,1143.18,3.49,10.6,1.45,571.59,1.74601692,5.3,,,7/27/19,Complete,18.176355,-66.913783,Building,,,2019/07/30 00:00:00+00,397
-66.704,18.052,457,Esc. Tallaboa Alta II (Int)                                 ,School,Penuelas,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,In Process,18.052,-66.704,Building,,,2020/02/14 00:00:00+00,398
-66.322,18.34,411,Esc. Superior Emilio L. Delgado,School,Corozal,,American Red Cross,American Red Cross,1,1,75,29565,90.31,,75,29565,90.31122,0,,,,Complete,18.34,-66.322,Building,,,2020/02/14 00:00:00+00,399
-67.138,18.182,458,Esc. Elpidio H. Rivera,School,Mayaguez,,American Red Cross,American Red Cross,1,1,55,21681,66.23,,55,21681,66.228228,0,,,,In Process,18.182,-67.138,Building,,,2020/02/14 00:00:00+00,400
-66.553,18.447,413,Esc. Eli Ramos Rosario ,School,Barceloneta,,American Red Cross,American Red Cross,1,1,59,23257.8,71.04,,59,23257.8,71.0448264,0,,,,Complete,18.447,-66.553,Building,,,2020/02/14 00:00:00+00,401
-66.577,18.42,414,Esc. Vicente Acevedo Ballester (Magueyes),School,Barceloneta,,American Red Cross,American Red Cross,1,1,59,23257.8,71.04,,59,23257.8,71.0448264,0,,,,Complete,18.42,-66.577,Building,,,2020/02/14 00:00:00+00,402
-66.192,18.368,415,Esc. Francisco Manrique Cabrera,School,Bayamon,,American Red Cross,American Red Cross,1,1,50,19710,60.21,,50,19710,60.20748,0,,,,Complete,18.368,-66.192,Building,,,2020/02/14 00:00:00+00,403
-66.939,18.476,459,Esc. Ramon Emeterio Betances,School,Quebradillas,,American Red Cross,American Red Cross,1,1,45,17739,54.19,,45,17739,54.186732,0,,,,In Process,18.476,-66.939,Building,,,2020/02/14 00:00:00+00,404
-66.335,18.44,460,Esc. Jose Pagan de Jesus,School,Vega Alta,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,In Process,18.44,-66.335,Building,,,2020/02/14 00:00:00+00,405
-67.183,18.383,418,Esc. Lydia Melendez,School,Aguada,,American Red Cross,American Red Cross,1,1,75,29565,90.31,,75,29565,90.31122,0,,,,Complete,18.383,-67.183,Building,,,2020/02/14 00:00:00+00,406
-67.155,18.458,419,Esc. Benito Cerezo Vazquez,School,Aguadilla,,American Red Cross,American Red Cross,1,1,59,23257.8,71.04,,59,23257.8,71.0448264,0,,,,Complete,18.458,-67.155,Building,,,2020/02/14 00:00:00+00,407
-66.492,18.296,420,Esc. SU Francisco Serrano,School,Ciales,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,Complete,18.296,-66.492,Building,,,2020/02/14 00:00:00+00,408
-65.723,18.378,461,Esc. Isidro Sanchez,School,Luquillo,,American Red Cross,American Red Cross,1,1,71,27988.2,85.49,,71,27988.2,85.4946216,0,,,,In Process,18.378,-65.723,Building,,,2020/02/14 00:00:00+00,409
-65.782,18.237,462,Esc. Lutgarda Rivera Reyes,School,Naguabo,,American Red Cross,American Red Cross,1,1,45,17739,54.19,,45,17739,54.186732,0,,,,In Process,18.237,-65.782,Building,,,2020/02/14 00:00:00+00,410
-66.551,18.364,423,Esc. Juanita Ramirez Gonzales,School,Florida,,American Red Cross,American Red Cross,1,1,50,19710,60.21,,50,19710,60.20748,0,,,,Complete,18.364,-66.551,Building,,,2020/02/14 00:00:00+00,411
-66.572,18.364,424,Esc. Ricardo Rodriguez Torres,School,Florida,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,Complete,18.364,-66.572,Building,,,2020/02/14 00:00:00+00,412
