X,Y,ID,Site_name,Site_type,Municipality,TotalBeneficiaries_Patients,Funders_Implementers,Funders_Combined,IsPrimary,Number_Funders,PVSizekW,Savings_year,CO2_eq_avoided_metric_tonnes_ye,Battery_size_kWh,PV_Size_AVG,Savings_AVG,CO2avoided_AVG,Batterysize_AVG,loads_backed_up,Installer,CompletionDate,Status,Latitude,Longitude,Accurate_building_town,Address,SiteDescription,Last_update,ObjectId
-66.850198,18.188827,131,S.U. Manuel Rojas Luzardo - (PAM),Community Center,Lares - Bartolo,,PAM Bartolo,"Purea Energía, sonnen, PAM Bartolo",0,3,9.36,3689.71,11.27,22,3.12,1229.904,3.756946752,7.333333333,,Pura Energía,3/10/18,Complete,18.188827,-66.850198,Building,,,,463
-66.83311,18.180956,528,Hospital General Castañer,Clinic,Castañer,,Solar Saves Lives group,"Direct Relief, Solar Saves Lives group",0,2,230.34,90800.03,277.36,475,115.17,45400.014,138.6819094,237.5,,AZ Engineering / EP Energy,,In Process,18.180956,-66.83311,Building,"Carr. 135 KM 4.5, Castañer, Lares 00631, Puerto Rico",,2020/02/14 00:00:00+00,464
-66.717688,18.046,188,"Med Centro Consejo de Salud de Puerto Rico, Inc.",Clinic,Peñuelas,,Americares,Americares,1,1,20,7884,24.08,40,20,7884,24.082992,40,Water pumps,New Energy,12/5/18,Complete,18.046,-66.717688,Building,,,2019/05/28 00:00:00+00,465
-66.857198,18.054144,189,Migrant Health Center Western Region,Clinic,Yauco,,Americares,Americares,1,1,20,7884,24.08,40,20,7884,24.082992,40,Water pumps,New Energy,12/5/18,Complete,18.054144,-66.857198,Building,,,2019/05/28 00:00:00+00,466
-66.945161,17.965473,23,Migrant Health Center Western Region ,Clinic,Guánica,,Fundación Comunitaria,Fundación Comunitaria,1,1,5.4,2128.68,6.5,14.8,5.4,2128.68,6.50240784,14.8,Vaccine Refrigerators,Pura Energia,,Complete,17.965473,-66.945161,Building,"Carr. PR324, km 0.1, Bo Ensenada, Guanica, PR 00647-0000",,2019/03/14 00:00:00+00,467
-66.94567,18.38676,24,Migrant Health Center Western Region ,Clinic,Isabela,,Fundación Comunitaria,Fundación Comunitaria,1,1,5.4,2128.68,6.5,14.8,5.4,2128.68,6.50240784,14.8,Vaccine Refrigerators,Pura Energia,,Complete,18.38676,-66.94567,Building,"Carr. 457 Bo. Planas, Isabela, PR",,2019/03/14 00:00:00+00,468
-67.059536,18.046493,25,Migrant Health Center Western Region ,Clinic,Lajas,,Fundación Comunitaria,Fundación Comunitaria,1,1,5.4,2128.68,6.5,14.8,5.4,2128.68,6.50240784,14.8,Vaccine Refrigerators,Pura Energia,,Complete,18.046493,-67.059536,Building,"Carr #101 Km 7.1, Bo Palmarejo Lajas, PR 00667",,2019/03/14 00:00:00+00,469
-66.992151,18.250489,26,Migrant Health Center Western Region ,Clinic,Las Marías,,Direct Relief,"Direct Relief, Solar Saves Lives group",1,2,34.65,13659.03,41.72,40,17.325,6829.515,20.86189182,20,"Vaccine Refrigerators, Lighting in Common Areas, Internet and Servers",New Energy,12/31/18,Complete,18.250489,-66.992151,Building,"Carr. #119, Calle Luis Montalvo, Sector Maravilla Norte, Las Marias, PR 00670",,2020/02/14 00:00:00+00,470
-65.932041,18.229836,139,"COSSMA, Inc - Esperanza Village",Community Solar,Juncos,,Fundación Comunitaria,Fundación Comunitaria,1,1,0,0,0,,0,0,0,0,,,,Complete,18.229836,-65.932041,Town,,,2019/03/18 00:00:00+00,471
-66.992151,18.250489,27,Migrant Health Center Western Region ,Clinic,Las Marías,,Solar Saves Lives group,"Direct Relief, Solar Saves Lives group",0,2,34.65,13659.03,41.72,40,17.325,6829.515,20.86189182,20,"Vaccine Refrigerators, Lighting in Common Areas, Internet and Servers",New Energy,12/31/18,Complete,18.250489,-66.992151,Building,"Carr. #119, Calle Luis Montalvo, Sector Maravilla Norte, Las Marias, PR 00670",,2020/02/14 00:00:00+00,472
-66.980804,18.18431,28,Migrant Health Center Western Region ,Clinic,Maricao,,Direct Relief,"Direct Relief, Solar Saves Lives group",1,2,17,6701.4,20.47,20,8.5,3350.7,10.2352716,10,"Vaccine Refrigerators, Lighting in Common Areas, Internet and Servers",New Energy,3/23/18,Complete,18.18431,-66.980804,Building,"#7 Calle Zuzuarregui, Maricao, PR 00606-1246",,2020/02/14 00:00:00+00,473
-66.98585,18.33005,29,Migrant Health Center Western Region ,Clinic,San Sebastián,,Fundación Comunitaria,Fundación Comunitaria,1,1,4.5,1773.9,5.42,20,4.5,1773.9,5.4186732,20,Vaccine Refrigerators,Pura Energia,,Complete,18.33005,-66.98585,Building,"PR-119, San Sebastián, 00685, Puerto Rico",,2019/03/14 00:00:00+00,474
-65.914718,18.090525,143,School in Yabucoa: SU Manuel Ortiz,School,Yabucoa,140,Tesla,"Tesla, SunCrate",1,2,12,4730.4,14.45,52,6,2365.2,7.2248976,26,,Black and Veatch,8/1/18,Complete,18.090525,-65.914718,Building,"33RP+64 Martorell, Yabucoa, Puerto Rico",,,475
-65.914718,18.090525,144,School in Yabucoa: SU Manuel Ortiz,School,Yabucoa,140,SunCrate,"Tesla, SunCrate",0,2,12,4730.4,14.45,52,6,2365.2,7.2248976,26,,Black and Veatch,8/1/18,Complete,18.090525,-65.914718,Building,"33RP+64 Martorell, Yabucoa, Puerto Rico",,,476
-66.166287,18.112662,145,Cayey Water Pump,Water Pumping Station,Cayey,,Water Mission,Water Mission ,1,1,29,11431.8,34.92,,29,11431.8,34.9203384,0,,FEMA/Water Mission,6/23/18,Complete,18.112662,-66.166287,Town,"Cayey, Cayey",,,477
-66.327743,18.345607,146,Corozal Water Pumping Station,Water Pumping Station,Corozal- Palos Blancos,,Water Mission,"Water Mission, Blue Planet",1,2,7,2759.4,8.43,16,3.5,1379.7,4.2145236,8,,FEMA/Water Mission,3/7/18,Complete,18.345607,-66.327743,Building,"Palos Blancos, Corozal",,,478
-66.327743,18.345607,147,Corozal Water Pumping Station,Water Pumping Station,Corozal- Palos Blancos,,Blue Planet,"Water Mission, Blue Planet",0,2,7,2759.4,8.43,16,3.5,1379.7,4.2145236,8,,FEMA/Water Mission,3/7/18,Complete,18.345607,-66.327743,Building,"Palos Blancos, Corozal",,,479
-67.021922,18.498642,148,Las Dunas Volunteer Center,Community Center,"Jobos, Isabela",,CMRC,"CMRC, Blue Planet",1,2,1.08,425.74,1.3,16,0.54,212.868,0.650240784,8,,New Energy,3/7/18,Complete,18.498642,-67.021922,Town,Isabela,,,480
-67.021922,18.498642,149,Las Dunas Volunteer Center,Community Center,"Jobos, Isabela",,Blue Planet,"CMRC, Blue Planet",0,2,1.08,425.74,1.3,16,0.54,212.868,0.650240784,8,,New Energy,3/7/18,Complete,18.498642,-67.021922,Town,Isabela,,,481
-66.602191,18.299266,150,Oficina de COSAO,Community Center,Utuado,800,Solar Libre,"Solar Libre, Electricidad por el Pueblo",1,2,3,1182.6,3.61,5.5,1.5,591.3,1.8062244,2.75,"Sole source of electricity – computer, printer, internet, phone charging, lights, small refrigerator",Volunteers,12/23/18,Complete,18.299266,-66.602191,Town,"Carretera 140 km, Mameyes Abajo, Utuado, PR 00650","Small standalone office building housing 501c3 COSAO, providing community services",,482
-66.602191,18.299266,151,Oficina de COSAO,Community Center,"Mameyes Abajo, Utuado",800,Electricidad por el Pueblo,"Solar Libre, Electricidad por el Pueblo",0,2,3,1182.6,3.61,5.5,1.5,591.3,1.8062244,2.75,"Sole source of electricity – computer, printer, internet, phone charging, lights, small refrigerator",Volunteers,12/23/18,Complete,18.299266,-66.602191,Town,"Carretera 140, km , Utuado, PR 00650","Small standalone office building housing 501c3 COSAO, providing community services",,483
-66.601881,18.298546,152,Escuela Antonio Tulla Torres,School,"Mameyes Abajo, Utuado",100,Tabuchi,"Tabuchi, Electricidad por el Pueble, Aireko Foundation, New Energy",1,4,6.72,2649.02,8.09,11,1.68,662.256,2.022971328,2.75,"Primary source of electricity – printer, lights, computers, phone charging",Aireko,6/10/18,Complete,18.298546,-66.601881,Building,"Carretera 140, km , Utuado, PR 00650",Main building of secondary school in rural mountain village,,484
-66.601881,18.298546,153,Escuela Antonio Tulla Torres,School,"Mameyes Abajo, Utuado",100,Electricidad por el Pueblo,"Tabuchi, Electricidad por el Pueble, Aireko Foundation, New Energy",0,4,6.72,2649.02,8.09,11,1.68,662.256,2.022971328,2.75,"Primary source of electricity – printer, lights, computers, phone charging",Aireko,6/10/18,Complete,18.298546,-66.601881,Building,"Carretera 140, km , Utuado, PR 00650",Main building of secondary school in rural mountain village,,485
-66.601881,18.298546,154,Escuela Antonio Tulla Torres,School,"Mameyes Abajo, Utuado",100,Aireko Foundation,"Tabuchi, Electricidad por el Pueble, Aireko Foundation, New Energy",0,4,6.72,2649.02,8.09,11,1.68,662.256,2.022971328,2.75,"Primary source of electricity – printer, lights, computers, phone charging",Aireko,6/10/18,Complete,18.298546,-66.601881,Building,"Carretera 140, km , Utuado, PR 00650",Main building of secondary school in rural mountain village,,486
-66.601881,18.298546,155,Escuela Antonio Tulla Torres,School,"Mameyes Abajo, Utuado",100,New Energy,"Tabuchi, Electricidad por el Pueble, Aireko Foundation, New Energy",0,4,6.72,2649.02,8.09,11,1.68,662.256,2.022971328,2.75,"Primary source of electricity – printer, lights, computers, phone charging",Aireko,6/10/18,Complete,18.298546,-66.601881,Building,"Carretera 140, km , Utuado, PR 00650",Main building of secondary school in rural mountain village,,487
-66.989113,18.251648,156,Estación de Bomberos de Las Marias,Fire station,Las Marias,,Empowered by Light,Empowered by Light,1,1,7,2759.4,8.43,22,7,2759.4,8.4290472,22,,,,Complete,18.251648,-66.989113,Building,"PR-124, Las Marías, 00685, Puerto Rico",,,488
-66.833699,18.180478,157,Estación de Bomberos de Castañer,Fire station,Castañer,,Empowered by Light,Empowered by Light,1,1,5.22,2057.72,6.29,22,5.22,2057.724,6.285660912,22,Critical load,AZ Engineering,9/1/18,Complete,18.180478,-66.833699,Building,,,,489
-66.049341,18.133332,158,Ponte Pilas Project,Community Center,Caguas,450 homes,Grassroots Solar,"Grassroots Solar, Green Street Power Partners",1,2,46,18133.2,55.39,,23,9066.6,27.6954408,0,,Grassroots Solar,,Complete,18.133332,-66.049341,Town,,,,490
-66.049341,18.133332,159,Ponte Pilas Project,Community Center,Caguas,450 homes,Green Street Power Partners,"Grassroots Solar, Green Street Power Partners",0,2,46,18133.2,55.39,,23,9066.6,27.6954408,0,,Grassroots Solar,,Complete,18.133332,-66.049341,Town,,,,491
-65.442223,18.150169,160,Vieques Office of Emergency Management,Community Center,Vieques,,Footprint Project,Footprint Project,1,1,7,2759.4,8.43,20,7,2759.4,8.4290472,20,"Radio, communications, refrigeration, and lighting",NewEnergy PR,,Pending,18.150169,-65.442223,Town,"Edificio OMME Vieques
Calle Benitez Guzman esq. Boldorioty
Isla Vieques, Puerto Rico",,,492
-66.700652,18.265029,161,Community Center in Utuado,Community Center,Utuado,,Solar Libre   ,Solar Libre   ,1,1,6.76,2664.79,8.14,10,6.76,2664.792,8.140051296,10,,,12/23/17,Complete,18.265029,-66.700652,Town,,,,493
-66.859357,18.030863,30,Migrant Health Center Western Region ,Clinic,Yauco,,Fundación Comunitaria,Fundación Comunitaria,1,1,5,1971,6.02,20,5,1971,6.020748,20,Vaccine Refrigerators,Pura Energia,,Complete,18.030863,-66.859357,Building,"Carr. #128, Km 4.1, Bo. Diego Hernandez, Yauco, PR 00698-0000",,2019/03/14 00:00:00+00,494
-66.470306,18.282556,163,Farmers Cooperative Farm,Farm,Ciales,,Solar Libre   ,Solar Libre   ,1,1,1.56,614.95,1.88,6,1.56,614.952,1.878473376,6,,,4/24/18,Complete,18.282556,-66.470306,Building,,,,495
-65.914833,18.0905,164,Manuela Ortiz School,School,Yabucoa,,Solar Libre   ,Solar Libre   ,1,1,1.56,614.95,1.88,6,1.56,614.952,1.878473376,6,,,4/27/18,Complete,18.0905,-65.914833,Building,,,,496
-65.841917,18.093444,165,Missionary House (Iglesia Evangélica Congregacional),Community Center,Yabucoa,,Solar Libre   ,Solar Libre   ,1,1,1.56,614.95,1.88,6,1.56,614.952,1.878473376,6,,,4/28/18,Complete,18.093444,-65.841917,Building,,,,497
-66.844611,18.334667,166,Community Kitchen el Taino,Community Center,Lares,,Solar Libre   ,Solar Libre   ,1,1,1.56,614.95,1.88,6,1.56,614.952,1.878473376,6,,,5/3/18,Complete,18.334667,-66.844611,Building,,,,498
-66.859083,18.346778,167,Animal Shelter Guardian Angel,Animal Shelter,Lares,,Solar Libre   ,Solar Libre   ,1,1,1.56,614.95,1.88,6,1.56,614.952,1.878473376,6,,,5/3/18,Complete,18.346778,-66.859083,Building,,,,499
-66.297194,18.158389,168,Siembra Tres Vidas Farm,Farm,Aibonito,,Solar Libre   ,Solar Libre   ,1,1,1.56,614.95,1.88,6,1.56,614.952,1.878473376,6,,,8/10/18,Complete,18.158389,-66.297194,Building,,,,500
-66.270528,18.148778,169,Surcos de la Montaña Farm,Farm,Aibonito,,Solar Libre   ,Solar Libre   ,1,1,1.56,614.95,1.88,4.8,1.56,614.952,1.878473376,4.8,,,5/8/18,Complete,18.148778,-66.270528,Building,,,,501
-66.27125,18.114778,170,LR Agro Farm,Farm,Aibonito,,Solar Libre   ,Solar Libre   ,1,1,1.56,614.95,1.88,4.8,1.56,614.952,1.878473376,4.8,,,5/8/18,Complete,18.114778,-66.27125,Building,,,,502
-66.230139,18.447639,171,Centro Comunal de Villas del Sol,Community Center,Toa Baja,,Solar Libre   ,Solar Libre   ,1,1,1.56,614.95,1.88,4.8,1.56,614.952,1.878473376,4.8,,,5/10/18,Complete,18.447639,-66.230139,Building,,,,503
-66.231917,18.442222,172,Community Kitchen Villa Calma,Community Center,Toa Baja,,Solar Libre   ,Solar Libre   ,1,1,1.56,614.95,1.88,4.8,1.56,614.952,1.878473376,4.8,,,5/10/18,Complete,18.442222,-66.231917,Building,,,,504
-66.058583,18.005833,173,Cooperative Farm,Farm,Arroyo,,Solar Libre   ,Solar Libre   ,1,1,1.56,614.95,1.88,4.8,1.56,614.952,1.878473376,4.8,,,5/13/18,Complete,18.005833,-66.058583,Building,,,,505
-65.843028,18.188056,174,Fresas y Uvas Rose,Farm,Las Piedras,,Solar Libre   ,Solar Libre   ,1,1,2.34,922.43,2.82,5.28,2.34,922.428,2.817710064,5.28,,,5/16/18,Complete,18.188056,-65.843028,Building,,,,506
-66.229401,18.379142,175,Proyecto Agroecológico el Josco Bravo,Farm,Toa Alta,,Solar Libre   ,Solar Libre   ,1,1,1.56,614.95,1.88,4.8,1.56,614.952,1.878473376,4.8,,,6/8/18,Complete,18.379142,-66.229401,Building,,,,507
-66.390889,18.444222,176,Green School,School,Vega Baja,,Solar Libre   ,Solar Libre   ,1,1,1.56,614.95,1.88,4.8,1.56,614.952,1.878473376,4.8,,,6/9/18,Complete,18.444222,-66.390889,Building,,,,508
-67.1315,18.213778,177,Zoológico de Mayagüez,Zoo,Mayagüez,,Solar Libre   ,Solar Libre   ,1,1,1.53,603.13,1.84,4.8,1.53,603.126,1.842348888,4.8,,,6/19/18,Complete,18.213778,-67.1315,Building,,,,509
-67.234306,18.304861,178,Finca La Clorofila,Farm,Rincón,,Solar Libre   ,Solar Libre   ,1,1,1.53,603.13,1.84,4.8,1.53,603.126,1.842348888,4.8,,,6/22/18,Complete,18.304861,-67.234306,Building,,,,510
-66.298972,18.284833,179,School/ Shelter Hipolito Caldero,School,Corozal,,Solar Libre,Solar Libre,1,1,0,0,0,,0,0,0,0,,,7/13/18,Complete,18.284833,-66.298972,Building,,,,511
-66.896944,18.269528,180,Centro Comunitario de Lares,Community Center,Lares,,Solar Libre   ,Solar Libre   ,1,1,3.06,1206.25,3.68,2.64,3.06,1206.252,3.684697776,2.64,,,7/31/18,Complete,18.269528,-66.896944,Building,,,,512
-66.486985,18.201028,181,S.U. Matrullas,School,Orocovis,,sonnen,"Pura Energía, sonnen",0,2,14.91,5877.52,17.95,22,7.455,2938.761,8.976935268,11,,Pura Energia,1/15/18,Complete,18.201028,-66.486985,Building,,First school in PR to go completely off-grid,,513
-66.486985,18.201028,182,S.U. Matrullas,School,Orocovis,,Pura Energía,"Pura Energía, sonnen",1,2,14.91,5877.52,17.95,22,7.455,2938.761,8.976935268,11,,Pura Energia,1/15/18,Complete,18.201028,-66.486985,Building,,First school in PR to go completely off-grid,,514
-65.912528,18.117278,183,Acueducto Rural Bo. Tejas (Well #6),Water Pumping Station,Yabucoa,2200,Direct Relief,"Direct Relief, Por los Nuestros",1,2,16,6307.2,19.27,32,8,3153.6,9.6331968,16,Water pumps,AZ Engineering,11/9/18,Complete,18.117278,-65.912528,Building,,,2019/05/28 00:00:00+00,515
-65.900875,18.111776,184,Acueducto Rural Bo. Tejas (Well #3),Water Pumping Station,Yabucoa,2200,Direct Relief,"Direct Relief, Por los Nuestros",1,2,16,6307.2,19.27,16,8,3153.6,9.6331968,8,Water pumps,AZ Engineering,11/30/18,Complete,18.111776,-65.900875,Building,,,2019/05/28 00:00:00+00,516
-66.992151,18.250489,31,Migrant Health Center Western Region ,Clinic,Las Marías,,Fundación Comunitaria,Fundación Comunitaria,1,1,5,1971,6.02,20,5,1971,6.020748,20,Vaccine Refrigerators,,,Complete,18.250489,-66.992151,Building,"Carr. #119, Calle Luis Montalvo, Sector Maravilla Norte, Las Marias, PR 00670",,2019/03/18 00:00:00+00,517
-67.143208,18.184694,32,Migrant Health Center Western Region ,Clinic,Mayagüez,,Fundación Comunitaria,Fundación Comunitaria,1,1,5,1971,6.02,20,5,1971,6.020748,20,Vaccine Refrigerators,,,Complete,18.184694,-67.143208,Building,"Calle Ramón Emeterio Betance #392 sur, Mayagüez, PR 00681",,2019/03/18 00:00:00+00,518
-65.880211,18.141701,187,ASOMANTE INC 1 (Well #3),Water Pumping Station,Las Piedras,600,Direct Relief,"Direct Relief, Por los Nuestros",1,2,15,5913,18.06,20,7.5,2956.5,9.031122,10,Water pumps,Pura Energia,12/11/18,Complete,18.141701,-65.880211,Building,,,2019/05/28 00:00:00+00,519
-67.133061,18.199611,33,Migrant Health Center Western Region ,Clinic,Mayagüez (La Salud),,Fundación Comunitaria,Fundación Comunitaria,1,1,5,1971,6.02,20,5,1971,6.020748,20,Vaccine Refrigerators,,,Complete,18.199611,-67.133061,Building,"222 Calle San Rafael, Mayagüez, PR 00680",,2019/03/18 00:00:00+00,520
-66.98585,18.33005,231,Migrant Health Center Western Region ,Clinic,San Sebastián,,American Red Cross,American Red Cross,1,1,101,39814.2,121.62,228,101,39814.2,121.6191096,228,,,,In Process,18.33005,-66.98585,Building,"PR-119, San Sebastián, 00685, Puerto Rico",,2020/02/14 00:00:00+00,521
-66.02361,18.16686,190,BUENOS AIRES,Water Pumping Station,CAGUAS,154,Water Mission,Water Mission,1,1,14,5518.8,16.86,,14,5518.8,16.8580944,0,Water pumps,,,Complete,18.16686,-66.02361,Building,,,2019/05/28 00:00:00+00,522
-66.434073,18.207009,191,PELLEJAS 1,Water Pumping Station,OROCOVIS,248,Water Mission,Water Mission,1,1,11,4336.2,13.25,,11,4336.2,13.2456456,0,Water pumps,,,Complete,18.207009,-66.434073,Building,,,2019/05/28 00:00:00+00,523
-66.380556,18.191389,192,COM. SABANA,Water Pumping Station,OROCOVIS,720,Water Mission,Water Mission,1,1,12,4730.4,14.45,,12,4730.4,14.4497952,0,Water pumps,,,Complete,18.191389,-66.380556,Building,,,2019/05/28 00:00:00+00,524
-66.460981,18.195449,193,FCA. GERALDO PAGAN (BAUTA),Water Pumping Station,OROCOVIS,1200,Water Mission,Water Mission,1,1,12,4730.4,14.45,,12,4730.4,14.4497952,0,Water pumps,,,Complete,18.195449,-66.460981,Building,,,2019/05/28 00:00:00+00,525
-66.0194591,18.1635199,194,JUAN FLORES,Water Pumping Station,SAN LORENZO,140,Water Mission,Water Mission,1,1,14,5518.8,16.86,,14,5518.8,16.8580944,0,Water pumps,,,Complete,18.1635199,-66.0194591,Building,,,2019/05/28 00:00:00+00,526
-66.18083,18.256882,195,LAS TORRES ANDINO,Water Pumping Station,AGUAS BUENAS,144,Water Mission,Water Mission,1,1,9,3547.8,10.84,,9,3547.8,10.8373464,0,Water pumps,,,Complete,18.256882,-66.18083,Building,,,2019/05/28 00:00:00+00,527
-66.2911,18.3006,196,COMUNIDAD SECTOR LA RIVIERA,Water Pumping Station,COROZAL,260,Water Mission,Water Mission,1,1,14,5518.8,16.86,,14,5518.8,16.8580944,0,Water pumps,,,Complete,18.3006,-66.2911,Building,,,2019/05/28 00:00:00+00,528
-66.40744,18.24635,197,COMUNIDAD LIMONES,Water Pumping Station,OROCOVIS,450,Water Mission,Water Mission,1,1,23,9066.6,27.7,,23,9066.6,27.6954408,0,Water pumps,,,Complete,18.24635,-66.40744,Building,,,2019/05/28 00:00:00+00,529
-66.605827,18.101167,198,MONTELLANOS,Water Pumping Station,PONCE,700,Water Mission,Water Mission,1,1,29,11431.8,34.92,,29,11431.8,34.9203384,0,Water pumps,,,Complete,18.101167,-66.605827,Building,,,2019/05/28 00:00:00+00,530
-66.18133,18.09922,199,BRISAS DEL TORITO,Water Pumping Station,CAYEY,335,Water Mission,Water Mission,1,1,29,11431.8,34.92,,29,11431.8,34.9203384,0,Water pumps,,,Complete,18.09922,-66.18133,Building,,,2019/05/28 00:00:00+00,531
-66.012201,18.174218,200,QUEMADOS II SEC. VICENTE (Vicente Pedrazas),Water Pumping Station,SAN LORENZO,320,Water Mission,Water Mission,1,1,7,2759.4,8.43,,7,2759.4,8.4290472,0,Water pumps,,,Complete,18.174218,-66.012201,Building,,,2019/05/28 00:00:00+00,532
-66.2625,18.2352,201,"LOS LIBERALES, BARRIO PALOMAS H2H",Water Pumping Station,COMERIO,300,Water Mission,Water Mission,1,1,14,5518.8,16.86,,14,5518.8,16.8580944,0,Water pumps,,,Complete,18.2352,-66.2625,Building,,,2019/05/28 00:00:00+00,533
-66.438069,18.205637,202,PELLEJAS 1 SECTOR MIRANDA,Water Pumping Station,OROCOVIS,60,Water Mission,Water Mission,1,1,7,2759.4,8.43,,7,2759.4,8.4290472,0,Water pumps,,,Complete,18.205637,-66.438069,Building,,,2019/05/28 00:00:00+00,534
-66.791032,18.170922,203,LIMANI,Water Pumping Station,Adjuntas,150,Water Mission,Water Mission,1,1,23,9066.6,27.7,,23,9066.6,27.6954408,0,Water pumps,,,Complete,18.170922,-66.791032,Building,,,2019/05/28 00:00:00+00,535
-66.76764,18.14518,204,COMUNIDAD PALOMO,Water Pumping Station,Adjuntas,120,Water Mission,Water Mission,1,1,7,2759.4,8.43,,7,2759.4,8.4290472,0,Water pumps,,,Complete,18.14518,-66.76764,Building,,,2019/05/28 00:00:00+00,536
-66.90443,18.25303,205,ACUEDUCTO COMUNAL MAGUEYES,Water Pumping Station,LARES,100,Water Mission,Water Mission,1,1,22,8672.4,26.49,,22,8672.4,26.4912912,0,Water pumps,,,Complete,18.25303,-66.90443,Building,,,2019/05/28 00:00:00+00,537
-66.321167,18.236444,206,TABOR,Water Pumping Station,BARRANQUITAS,640,Water Mission,Water Mission,1,1,13.92,5487.26,16.76,,13.92,5487.264,16.76176243,0,Water pumps,,,Complete,18.236444,-66.321167,Building,,,2019/05/28 00:00:00+00,538
-66.00893,18.161733,207,SECTOR MANUEL DIAZ,Water Pumping Station,SAN LORENZO,500,Water Mission,Water Mission,1,1,16.8,6622.56,20.23,,16.8,6622.56,20.22971328,0,Water pumps,,,Complete,18.161733,-66.00893,Building,,,2019/05/28 00:00:00+00,539
-66.329444,18.240278,208,PALMARITO CINTRON,Water Pumping Station,BARRANQUITAS,800,Water Mission,Water Mission,1,1,28,11037.6,33.72,,28,11037.6,33.7161888,0,Water pumps,,,Complete,18.240278,-66.329444,Building,,,2019/05/28 00:00:00+00,540
-66.980804,18.18431,521,Migrant Health Center Western Region ,Clinic,Maricao,,Solar Saves Lives group,"Direct Relief, Solar Saves Lives group",0,2,17,6701.4,20.47,20,8.5,3350.7,10.2352716,10,"Vaccine Refrigerators, Lighting in Common Areas, Internet and Servers",New Energy,3/23/18,Complete,18.18431,-66.980804,Building,"#7 Calle Zuzuarregui, Maricao, PR 00606-1246",,2020/02/14 00:00:00+00,541
-66.20691,18.39833,35,"Morovis Community Health Center, Inc. ",Clinic,Toa Baja,,Fundación Comunitaria,Fundación Comunitaria,1,1,5,1971,6.02,20,5,1971,6.020748,20,Vaccine Refrigerators,,,Complete,18.39833,-66.20691,Building,,,2019/03/14 00:00:00+00,542
-66.40442,18.32636,34,"Morovis Community Health Center, Inc. ",Clinic,Morovis,,American Red Cross,American Red Cross,1,1,175,68985,210.73,456,175,68985,210.72618,456,,,,In Process,18.32636,-66.40442,Building,"Calle Patrón #2 Ave. Corozal y Patrón, Morovis, PR",,2020/02/14 00:00:00+00,543
-67.248976,18.334217,212,Estación De Bomberos de Rincón,Fire Station,Rincón,,Solar Responders,Solar Responders,1,1,10.05,3961.71,12.1,27,10.05,3961.71,12.10170348,27,Water pumps,,,Complete,18.334217,-67.248976,Building,,,2019/05/28 00:00:00+00,544
-65.439513,18.14095,213,Vieques Fire Station,Fire Station,Vieques,9350,Empowered by Light,"Empowered by Light, The Electric Planet Foundation",1,2,15.075,5942.57,18.15,37.5,7.5375,2971.2825,9.07627761,18.75,Water pumps,AZ Engineering,12/25/18,Complete,18.14095,-65.439513,Building,"PR-997, Florida, Vieques 00765, PR",,2019/05/28 00:00:00+00,545
-65.439513,18.14095,214,Vieques Fire Station,Fire Station,Vieques,9350,The Electric Planet Foundation,"Empowered by Light, The Electric Planet Foundation",0,2,15.075,5942.57,18.15,37.5,7.5375,2971.2825,9.07627761,18.75,Water pumps,AZ Engineering,12/25/18,Complete,18.14095,-65.439513,Building,"PR-997, Florida, Vieques 00765, PR",,2019/05/28 00:00:00+00,546
-66.724699,18.166132,215,Adjuntas Fire Station,Fire Station,Adjuntas,19483,Empowered by Light,"Empowered by Light, The Electric Planet Foundation",1,2,6.03,2377.03,7.26,12.5,3.015,1188.513,3.630511044,6.25,Water pumps,AZ Engineering,12/29/18,Complete,18.166132,-66.724699,Town,"PR-5516, Adjuntas, 00601, PR",,2019/05/28 00:00:00+00,547
-66.724699,18.166132,216,Adjuntas Fire Station,Fire Station,Adjuntas,19483,The Electric Planet Foundation,"Empowered by Light, The Electric Planet Foundation",0,2,6.03,2377.03,7.26,12.5,3.015,1188.513,3.630511044,6.25,Water pumps,AZ Engineering,12/29/18,Complete,18.166132,-66.724699,Town,"PR-5516, Adjuntas, 00601, PR",,2019/05/28 00:00:00+00,548
-66.724699,18.166132,217,La Misericordia Elderly Home,Elderly Home,Adjuntas,25,Empowered by Light,"Empowered by Light, Wallace Global Fund",1,2,10.05,3961.71,12.1,25,5.025,1980.855,6.05085174,12.5,"Full facility - lights, medical equipment, AC, kitchen",AZ Engineering,1/1/19,Complete,18.166132,-66.724699,Town,"3 Calle Cesar Gonzalez, Adjuntas, PR 00601-2305",Home for low-income elderly residents,2019/05/28 00:00:00+00,549
-66.724699,18.166132,218,La Misericordia Elderly Home,Elderly Home,Adjuntas,25,Wallace Global Fund,"Empowered by Light, Wallace Global Fund",0,2,10.05,3961.71,12.1,25,5.025,1980.855,6.05085174,12.5,Water pumps,AZ Engineering,12/30/19,Complete,18.166132,-66.724699,Town,"3 Calle Cesar Gonzalez, Adjuntas, PR 00601-2305",Home for low-income elderly residents,2019/05/28 00:00:00+00,550
-66.20691,18.39833,234,"Morovis Community Health Center, Inc. ",Clinic,Toa Baja,,American Red Cross,American Red Cross,1,1,37,14585.4,44.55,80,37,14585.4,44.5535352,80,,,,In Process,18.39833,-66.20691,Building,,,2020/02/14 00:00:00+00,551
